gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3970380496	5513a4fb-7398-4953-b63e-4ffc571c6c3e	E11F878EFFDAFFD5FEE2FEE1FAD7DC53.mc.D9DE3CC5FFDAFFD5FDC2FEDDFD4BDDDD	Animalia	Chordata	Mammalia	Rodentia	Hystricidae	Atherurus	Atherurus africanus		SPECIES	Atherurus africanus Gray, 1842	Atherurus africanus Gray 1842	Gray 1842	SL			PRESENT	1	7ce8aef0-9e92-11dc-8738-b8a03c50a862													5219892	5219892	MATERIAL_CITATION							CC0_1_0					2022-11-24T22:08:45.883Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3970380409	5513a4fb-7398-4953-b63e-4ffc571c6c3e	E11F878EFFDCFFD3FEE0FF18FA9CDB10.mc.D9DE3CC5FFDCFFD3FDFEFFF5FD48DCC7	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys swinderianus		SPECIES	Thryonomys swinderianus (Temminck, 1827)	Thryonomys swinderianus (Temminck 1827)	(Temminck 1827)	SL			PRESENT	1	7ce8aef0-9e92-11dc-8738-b8a03c50a862													2437636	2437636	MATERIAL_CITATION							CC0_1_0					2022-11-24T22:08:42.901Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3970365441	e5d38fc8-706a-4b87-be23-8c34de1f9771	03BC87A9461DFF81222EFBC453D8FB2B.mc.3B7D3CE2461DFF81215FFBAC535AFB84	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys swinderianus		SPECIES	Thryonomys swinderianus (Temminck, 1827)	Thryonomys swinderianus (Temminck 1827)	(Temminck 1827)	SL			PRESENT	1	7ce8aef0-9e92-11dc-8738-b8a03c50a862													2437636	2437636	MATERIAL_CITATION							CC0_1_0					2022-11-25T12:04:24.799Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3970365354	e5d38fc8-706a-4b87-be23-8c34de1f9771	03BC87A94634FFA823D2FB8A5459FA66.mc.3B7D3CE24634FFA82100FB5352AFFB31	Animalia	Chordata	Mammalia	Rodentia	Hystricidae	Atherurus	Atherurus africanus		SPECIES	Atherurus africanus Gray, 1842	Atherurus africanus Gray 1842	Gray 1842	SL			PRESENT	1	7ce8aef0-9e92-11dc-8738-b8a03c50a862													5219892	5219892	MATERIAL_CITATION							CC0_1_0					2022-11-25T12:04:23.660Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3970359349	16592775-0363-4466-953e-957ad3bb4333	03CE87CF5854FF99FF41FDDAFBF52740.mc.3B0F3C845854FF99FD92FD35FC8B21B9	Animalia	Chordata	Mammalia	Rodentia	Anomaluridae	Anomalurus	Anomalurus derbianus		SPECIES	Anomalurus derbianus (Gray, 1842)	Anomalurus derbianus (Gray 1842)	(Gray 1842)	SL			PRESENT	1	7ce8aef0-9e92-11dc-8738-b8a03c50a862													5219879	5219879	MATERIAL_CITATION							CC0_1_0					2022-11-24T19:29:53.696Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3968860700	d8cd16ba-bb74-4420-821e-083f2bac17c2	JQ844085	Animalia	Chordata	Mammalia	Rodentia	Muridae	Praomys	Praomys rostratus		SPECIES	Praomys rostratus (Miller, 1900)	Praomys rostratus		SL	Seli River		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													2438473	2438473	PRESERVED_SPECIMEN			VN_2607		Violaine Nicolas		CC_BY_4_0					2022-11-25T11:21:55.601Z		
3968857909	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW827587	Animalia	Chordata	Mammalia	Rodentia	Muridae	Hybomys	Hybomys planifrons		SPECIES	Hybomys planifrons (Miller, 1900)	Hybomys planifrons		SL	 Northern Province, Kakutan at Seli River crossing to Masumarandugu		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	9.2	-11.7							2006-01-23T00:00:00	23	1	2006	2439072	2439072	PRESERVED_SPECIMEN			USNM:584890;UVM:2588				CC_BY_4_0		R. Norris			2022-11-25T11:21:31.300Z		GEODETIC_DATUM_ASSUMED_WGS84
3827169651	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/236196902	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Heliosciurus	Heliosciurus rufobrachium		SPECIES	Heliosciurus rufobrachium (Waterhouse, 1842)	Heliosciurus rufobrachium		SL	Sierra Leone - Tunkia (chiefdom)		PRESENT	6	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	7.433862	-11.354971	95.0						2022-03-12T00:00:00	12	3	2022	2437540	2437540	HUMAN_OBSERVATION		Observations	OBS.236196902				CC_BY_NC_4_0	Stichting Observation International				2022-11-25T08:13:39.758Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3818003386	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW030683	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys natalensis		SPECIES	Mastomys natalensis (A.Smith, 1834)	Mastomys natalensis		SL	 Yakaji		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2014-04-10T00:00:00	10	4	2014	2438911	2438911	PRESERVED_SPECIMEN			YAK-08				CC_BY_4_0					2022-11-25T11:21:28Z		
3817997576	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW030684	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys natalensis		SPECIES	Mastomys natalensis (A.Smith, 1834)	Mastomys natalensis		SL	 Yakaji		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2014-04-11T00:00:00	11	4	2014	2438911	2438911	PRESERVED_SPECIMEN			YAK-20				CC_BY_4_0					2022-11-25T11:22:26.934Z		
